"","Agency.Name","State.Name","Total.General.Revenue","Number.Public.Schools","leaid11","County.Name","Full.Time.Teachers","Pupil.Teacher.Ratio","Total.Students"
"24","ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT)","Massachusetts",18228000,1,2500051,"WORCESTER COUNTY",111.9,12.74,1426
"25","ABC UNIFIED","California",196710000,31,601620,"LOS ANGELES COUNTY",822.75,25.14,20688
"26","ABERDEEN DISTRICT","Idaho",6401000,3,1600030,"BINGHAM COUNTY",63.9,12.88,823
"27","ABERDEEN SCHOOL DIST","Mississippi",14475000,5,2800360,"MONROE COUNTY",107.08,13.55,1451
"28","ABERDEEN SCHOOL DISTRICT","Washington",38427000,11,5300030,"GRAYS HARBOR COUNTY",189.73,17.79,3376
"29","ABERDEEN SCHOOL DISTRICT 06-1","South Dakota",36798000,10,4602070,"BROWN COUNTY",257.6,15.34,3952
"30","ABERNATHY ISD","Texas",10544000,4,4807410,"HALE COUNTY",69,11.12,767
"31","ABILENE","Kansas",16488000,6,2003180,"DICKINSON COUNTY",120.1,13.65,1639
"32","ABILENE ISD","Texas",155962000,42,4807440,"TAYLOR COUNTY",1117.04,15.38,17177
"33","ABINGDON CUSD 217","Illinois",8015000,3,1703090,"KNOX COUNTY",45.5,16.73,761
"34","ABINGTON","Massachusetts",26813000,5,2501650,"PLYMOUTH COUNTY",123.67,16.38,2026
"35","ABINGTON HEIGHTS SD","Pennsylvania",43411000,6,4202010,"LACKAWANNA COUNTY",238,14.26,3393
"36","ABINGTON SD","Pennsylvania",124622000,9,4202040,"MONTGOMERY COUNTY",521.3,14.26,7434
"37","ABQ SCHOOL OF EXCELLENCE","New Mexico",0,1,3500122,"BERNALILLO COUNTY",19.86,14.7,292
"38","ABQ SIGN LANGUAGE ACADEMY","New Mexico",1496000,1,3500123,"BERNALILLO COUNTY",6.29,10.49,66
"39","ABSAROKEE ELEM","Montana",1853000,2,3001710,"STILLWATER COUNTY",13.31,13.37,178
"40","ABSAROKEE H S","Montana",1725000,1,3001740,"STILLWATER COUNTY",9.85,9.75,96
"41","ABSECON PUBLIC SCHOOLS","New Jersey",14134000,2,3400660,"ATLANTIC COUNTY",67,12.31,825
"42","ACADEMIA CESAR CHAVEZ CHARTER SCH.","Minnesota",4687000,1,2700185,"RAMSEY COUNTY",26.8,12.72,341
"43","ACADEMIC AND CAREER EDUCATION ACADEMY","Michigan",964000,1,2600330,"MIDLAND COUNTY",6.98,16.76,117
"44","ACADEMIC AND PERSONAL EXCELLENCE  INC.","Arizona",NA,1,400654,"PIMA COUNTY",NA,NA,NA
"45","ACADEMIC ARTS HIGH SCHOOL","Minnesota",710000,1,2700361,"DAKOTA COUNTY",4.02,16.42,66
"46","ACADEMIC LEADERSHIP CHARTER SCHOOL","New York",NA,1,3601001,"BRONX COUNTY",15,17.93,269
"47","ACADEMIC TRANSITIONAL ACADEMY","Michigan",18000,NA,2600334,"ST. CLAIR COUNTY",0,NA,0
"48","ACADEMICS PLUS CHARTER SCHOOL","Arkansas",4780000,2,500059,"PULASKI COUNTY",44.29,14.07,623
"49","ACADEMIE LAFAYETTE","Missouri",8814000,1,2900017,"JACKSON COUNTY",55.07,13.38,737
"50","ACADEMY CHARTER HIGH SCHOOL","New Jersey",3579000,1,3400048,"MONMOUTH COUNTY",17.5,11.37,199
