"","Agency.Name","State.Name","Total.General.Revenue","Number.Public.Schools","leaid11","County.Name","Full.Time.Teachers","Pupil.Teacher.Ratio","Total.Students"
"51","ACADEMY CHARTER SCHOOL","New York",NA,1,3600997,"NASSAU COUNTY",24,14,336
"52","ACADEMY CS","Pennsylvania",3353000,1,4200133,"ALLEGHENY COUNTY",26,7.31,190
"53","ACADEMY DEL SOL  INC.","Arizona",863000,2,400797,"PIMA COUNTY",NA,NA,77
"54","ACADEMY FOR ACADEMIC EXCELLENCE","Texas",8080000,5,4800093,"DALLAS COUNTY",58.84,9.91,583
"55","ACADEMY FOR BUSINESS AND TECHNOLOGY","Michigan",6546000,2,2600166,"WAYNE COUNTY",42.62,16.45,701
"56","ACADEMY FOR CREATIVE LEARNERS-CLEVELAND WEST","Ohio",NA,1,3901400,"CUYAHOGA COUNTY",NA,NA,NA
"57","ACADEMY FOR CREATIVE LEARNERS-MANSFIELD","Ohio",NA,1,3901401,"CUYAHOGA COUNTY",NA,NA,NA
"58","ACADEMY FOR CREATIVE LEARNERS-TOLEDO","Ohio",NA,1,3901399,"CUYAHOGA COUNTY",NA,NA,NA
"59","ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES)","Utah",2549000,1,4900017,"SALT LAKE COUNTY",21.02,23.12,486
"60","ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL","New Hampshire",NA,2,3300040,"HILLSBOROUGH COUNTY",18.3,0,0
"61","ACADEMY FOR URBAN LEADERSHIP","New Jersey",3288000,1,3400741,"MIDDLESEX COUNTY",0,NA,138
"62","ACADEMY ISD","Texas",10443000,5,4807470,"BELL COUNTY",83.26,13.62,1134
"63","ACADEMY OF ACCELERATED LEARNING INC","Texas",5410000,1,4800032,"HARRIS COUNTY",34,22.26,757
"64","ACADEMY OF ARIZONA","Arizona",NA,2,400234,"OAKLAND COUNTY",NA,NA,NA
"65","ACADEMY OF ARTS AND SCIENCES","Ohio",1228000,1,3900594,"LORAIN COUNTY",7,18.57,130
"66","ACADEMY OF BUILDING INDUSTRIES  INC.","Arizona",764000,1,400414,"MOHAVE COUNTY",NA,NA,88
"67","ACADEMY OF CAREERS AND TECHNOLOGIES CHARTER SCHOOL","Texas",2127000,1,4800199,"BEXAR COUNTY",13,14.46,188
"68","ACADEMY OF COLUMBUS","Ohio",2750000,1,3900438,"FRANKLIN COUNTY",16,19.94,319
"69","ACADEMY OF DALLAS","Texas",4342000,1,4800090,"DALLAS COUNTY",24.06,22.32,537
"70","ACADEMY OF DOVER CHARTER SCHOOL","Delaware",3243000,1,1000017,"KENT COUNTY",18,14.22,256
"71","ACADEMY OF EXCELLENCE  INC.","Arizona",1656000,3,400128,"MARICOPA COUNTY",NA,NA,217
"72","ACADEMY OF FLINT","Michigan",4428000,1,2600198,"GENESEE COUNTY",27,17.3,467
"73","ACADEMY OF INTERNATIONAL STUDIES","Michigan",NA,1,2601002,"WAYNE COUNTY",NA,NA,NA
"74","ACADEMY OF MATHEMATICS AND SCIENCE  INC.","Arizona",3146000,1,400368,"PIMA COUNTY",NA,NA,334
"75","ACADEMY OF NEW MEDIA MIDDLE","Ohio",1221000,1,3901425,"FRANKLIN COUNTY",7,20.14,141
"76","ACADEMY OF NORTH MINNEAPOLIS","Minnesota",1069000,1,2700330,"HENNEPIN COUNTY",15,10.33,155
"77","ACADEMY OF SOUTHFIELD","Michigan",3413000,1,2600108,"OAKLAND COUNTY",23,17.09,393
"78","ACADEMY OF THE CITY CHARTER SCHOOL","New York",NA,1,3601053,"QUEENS COUNTY",11,8.45,93
"79","ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT)","Massachusetts",7538000,1,2500021,"SUFFOLK COUNTY",36.8,13.59,500
"80","ACADEMY OF TRADES AND TECH","New Mexico",NA,1,3500129,"BERNALILLO COUNTY",8.12,16.75,136
"81","ACADEMY OF TUCSON  INC.","Arizona",5043000,3,400202,"PIMA COUNTY",NA,NA,755
"82","ACADEMY OF WARREN","Michigan",6739000,1,2600308,"MACOMB COUNTY",35,19.17,671
"83","ACADEMY OF WATERFORD","Michigan",2027000,1,2600290,"OAKLAND COUNTY",16,13.56,217
"84","ACADEMY OF WESTLAND","Michigan",NA,1,2600133,"WAYNE COUNTY",26,13.12,341
"85","ACADEMY WITH COMMUNITY PARTNERS  INC","Arizona",1571000,1,400276,"MARICOPA COUNTY",NA,NA,188
"86","ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN","Colorado",223284000,32,801920,"EL PASO COUNTY",1419.22,16.67,23657
"87","ACADIA PARISH","Louisiana",97812000,26,2200030,"ACADIA PARISH",615.26,15.7,9657
"88","ACALANES UNION HIGH","California",70247000,5,601650,"CONTRA COSTA COUNTY",265.01,20.38,5402
"89","ACCELERATED ACHIEVEMENT ACADEMY OF EAST CINCINNATI","Ohio",1343000,1,3901460,"HAMILTON COUNTY",3,11,33
"90","ACCELERATED ACHIEVEMENT ACADEMY OF NORTH CINCINNATI","Ohio",1379000,1,3901440,"HAMILTON COUNTY",0,NA,NA
"91","ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS","Arizona",1288000,1,400129,"PIMA COUNTY",13,16.62,216
"92","ACCELERATED INTERMEDIATE ACADEMY","Texas",2656000,4,4800192,"HARRIS COUNTY",15,17.2,258
"93","ACCELERATED LEARNING CENTER  INC.","Arizona",1541000,1,400121,"MARICOPA COUNTY",NA,NA,211
"94","ACCELERATED LEARNING CHARTER SCHOOL  INC.","Arizona",563000,1,400338,"YAVAPAI COUNTY",NA,NA,63
"95","ACCLAIM CHARTER SCHOOL","Arizona",3457000,1,400122,"MARICOPA COUNTY",NA,NA,449
"96","ACCOMACK CO PBLC SCHS","Virginia",53098000,13,5100060,"ACCOMACK COUNTY",311.2,16.49,5132
"97","ACE ACADEMY (SDA)","Michigan",3183000,1,2600943,"OAKLAND COUNTY",17,8.65,147
"98","ACE LEADERSHIP HIGH SCHOOL","New Mexico",3024000,1,3500128,"BERNALILLO COUNTY",12.41,16.04,199
"99","ACHIEVE CAREER PREPARATORY ACADEMY","Ohio",2727000,1,3901362,"LUCAS COUNTY",19,11.95,227
"100","ACHIEVE CHARTER ACADEMY","Michigan",5670000,1,2600963,"WAYNE COUNTY",31.88,22.8,727
"101","ACHIEVE LANGUAGE ACADEMY","Minnesota",4893000,1,2700118,"RAMSEY COUNTY",32.08,12.81,411
"102","ACHIEVEMENT ACADEMY CHARTER SCHOOL","New York",NA,1,3600129,"ALBANY COUNTY",19,11.26,214
"103","ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL","New York",NA,1,3601028,"KINGS COUNTY",22,NA,NA
"104","ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL","New York",NA,1,3600969,"KINGS COUNTY",32.81,12.4,407
"105","ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL","New York",NA,1,3600166,"KINGS COUNTY",65.02,12.12,788
"106","ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL","New York",NA,1,3600147,"KINGS COUNTY",80.1,10.01,802
"107","ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL","New York",NA,1,3600149,"KINGS COUNTY",58.54,11.29,661
"108","ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL","New York",NA,1,3600170,"KINGS COUNTY",43,12.4,533
"109","ACHIEVEMENT FIRST HARTFORD AC","Connecticut",7736000,1,900212,"HARTFORD COUNTY",62.24,12.24,762
"110","ACHIEVEMENT HOUSE CS","Pennsylvania",8888000,1,4200128,"CHESTER COUNTY",34.15,15.55,531
"111","ACHIEVEMENT PREP ACADEMY PCS","District of Columbia",3606000,1,1100072,"DISTRICT OF COLUMBIA",17,11.94,203
"112","ACHILLE","Oklahoma",3474000,2,4002370,"BRYAN COUNTY",23.1,14.94,345
"113","ACKERMAN CHARTER","California",3827000,1,601680,"PLACER COUNTY",27.4,19.2,526
"114","ACORN MONTESSORI CHARTER SCHOOL","Arizona",3031000,2,400320,"YAVAPAI COUNTY",NA,NA,371
"115","ACTON","Massachusetts",33839000,5,2501680,"MIDDLESEX COUNTY",139,18.09,2514
"116","ACTON PUBLIC SCHOOLS","Maine",5675000,1,2302220,"YORK COUNTY",21.09,17.26,364
"117","ACTON-AGUA DULCE UNIFIED","California",13259000,4,600001,"LOS ANGELES COUNTY",61.4,24.53,1506
"118","ACTON-BOXBOROUGH","Massachusetts",49356000,2,2501710,"MIDDLESEX COUNTY",181.72,16.01,2910
"119","ACUSHNET","Massachusetts",15417000,2,2501740,"BRISTOL COUNTY",72.54,13.85,1005
"120","AD PRIMA CS","Pennsylvania",3753000,1,4200129,"PHILADELPHIA COUNTY",22,17.27,380
"121","ADA","Oklahoma",21830000,6,4002430,"PONTOTOC COUNTY",198.7,13.65,2713
"122","ADA EXEMPTED VILLAGE","Ohio",9114000,2,3904518,"HARDIN COUNTY",53.14,16.33,868
"123","ADA-BORUP PUBLIC SCHOOL DISTRICT","Minnesota",5990000,3,2700126,"NORMAN COUNTY",41.54,12.71,528
"124","ADAIR","Oklahoma",7585000,3,4002460,"MAYES COUNTY",60.4,16.57,1001
"125","ADAIR CO. R-I","Missouri",2881000,2,2922980,"ADAIR COUNTY",24.85,10.38,258
"126","ADAIR CO. R-II","Missouri",2499000,2,2905790,"ADAIR COUNTY",23.03,9.38,216
"127","ADAIR COUNTY","Kentucky",27123000,6,2100030,"ADAIR COUNTY",166,15.67,2601
"128","ADAIR-CASEY COMM SCHOOL DISTRICT","Iowa",4382000,2,1903090,"GUTHRIE COUNTY",30.73,11.94,367
"129","ADAMS 1 MAPLETON","Colorado",NA,NA,800258,"ADAMS COUNTY",0,NA,0
"130","ADAMS 12 FIVE STAR SCHOOLS","Colorado",400452000,54,806900,"ADAMS COUNTY",2108.02,20.39,42990
"131","ADAMS 12 NORTHGLENN","Colorado",NA,NA,800268,"ADAMS COUNTY",0,NA,0
"132","ADAMS 128","North Dakota",960000,1,3801680,"WALSH COUNTY",6.37,4.24,27
"133","ADAMS 14 COMMERCE CITY","Colorado",NA,NA,800272,"ADAMS COUNTY",0,NA,0
"134","ADAMS 27J BRIGHTON","Colorado",NA,NA,800237,"ADAMS COUNTY",0,NA,0
"135","ADAMS 50 WESTMINSTER","Colorado",NA,NA,800257,"ADAMS COUNTY",0,NA,0
"136","ADAMS CENTRAL COMMUNITY SCHOOLS","Indiana",13496000,3,1800060,"ADAMS COUNTY",NA,NA,1218
"137","ADAMS CENTRAL PUBLIC SCHOOLS","Nebraska",14294000,6,3102770,"ADAMS COUNTY",68.28,13.02,889
"138","ADAMS COUNTY BOCES","Colorado",616000,NA,800009,"ADAMS COUNTY",0,NA,NA
"139","ADAMS COUNTY/OHIO VALLEY LOCAL","Ohio",46071000,7,3906190,"ADAMS COUNTY",244.22,16.34,3990
"140","ADAMS TOWNSHIP SCHOOL DISTRICT","Michigan",4154000,2,2601890,"HOUGHTON COUNTY",23.38,18.35,429
"141","ADAMS-ARAP 28J AURORA","Colorado",NA,NA,800255,"ARAPAHOE COUNTY",0,NA,0
"142","ADAMS-CHESHIRE","Massachusetts",40993000,3,2501780,"BERKSHIRE COUNTY",101.72,14.31,1456
"143","ADAMS-FRIENDSHIP AREA SCHOOL DISTRICT","Wisconsin",23703000,5,5500060,"ADAMS COUNTY",132.94,13.1,1742
"144","ADAMS-WELLS SPECIAL SERVICES COOP","Indiana",7543000,NA,1800100,"WELLS COUNTY",56.09,NA,NA
"145","ADAMS/PIKE ROE","Illinois",NA,4,1700162,"ADAMS COUNTY",0,NA,0
"146","ADDISON CENTRAL SCHOOL DISTRICT","New York",29441000,3,3602370,"STEUBEN COUNTY",94.45,12.67,1197
"147","ADDISON CENTRAL SUPERVISORY UNION","Vermont",5247000,NA,5099903,"ADDISON COUNTY",8.42,NA,NA
"148","ADDISON COMMUNITY SCHOOLS","Michigan",10066000,3,2601920,"LENAWEE COUNTY",49.8,17.85,889
"149","ADDISON NORTHEAST SUPERVISORY UNION","Vermont",3930000,NA,5099901,"ADDISON COUNTY",5.6,NA,NA
"150","ADDISON NORTHWEST SUPERVISORY UNION","Vermont",6111000,NA,5099902,"ADDISON COUNTY",8.2,NA,NA
"151","ADDISON RUTLAND SUPERVISORY UNION","Vermont",2591000,NA,5099904,"RUTLAND COUNTY",10.4,NA,NA
"152","ADDISON SCHOOL DISTRICT","Vermont",1813000,1,5001710,"ADDISON COUNTY",9.8,9.9,97
"153","ADDISON SD 4","Illinois",48025000,8,1703150,"DUPAGE COUNTY",242.18,17.74,4296
"154","ADEL DESOTO MINBURN COMM SCHOOL DISTRICT","Iowa",17615000,4,1903150,"DALLAS COUNTY",106.8,13.57,1449
"155","ADEL SD 21","Oregon",301000,1,4100990,"LAKE COUNTY",1.25,12,15
"156","ADELAIDE L. SANFORD CHARTER SCHOOL","New Jersey",5090000,1,3400716,"ESSEX COUNTY",19,17.26,328
"157","ADELANTO ELEMENTARY","California",113287000,14,601710,"SAN BERNARDINO COUNTY",303.2,30.07,9117
"158","ADENA LOCAL","Ohio",12905000,4,3904949,"ROSS COUNTY",75,16.72,1254
"159","ADIRONDACK CENTRAL SCHOOL DISTRICT","New York",25598000,5,3605040,"ONEIDA COUNTY",116.82,11.54,1348
"160","ADLAI E STEVENSON HSD 125","Illinois",104668000,1,1732580,"LAKE COUNTY",250.96,16.41,4118
"161","ADMIRAL PEARY AVTS","Pennsylvania",3780000,1,4280120,"CAMBRIA COUNTY",19.5,0,0
"162","ADNA SCHOOL DISTRICT","Washington",5810000,2,5300060,"LEWIS COUNTY",31.83,19.57,623
"163","ADRIAN ISD","Texas",1720000,1,4807500,"OLDHAM COUNTY",15.86,8.2,130
"164","ADRIAN PUBLIC SCHOOL DISTRICT","Minnesota",6904000,3,2702730,"NOBLES COUNTY",40.31,14.86,599
"165","ADRIAN R-III","Missouri",6691000,2,2902850,"BATES COUNTY",53.46,13.92,744
"166","ADRIAN SCHOOL DISTRICT OF THE CITY OF","Michigan",36808000,8,2601950,"LENAWEE COUNTY",209.51,15.05,3153
"167","ADRIAN SD 61","Oregon",3257000,2,4101020,"MALHEUR COUNTY",17.03,14.74,251
"168","ADVANCE R-IV","Missouri",3739000,2,2902880,"STODDARD COUNTY",34.06,12.86,438
"169","ADVANCED EDUCATION SERVICES  INC.","Arizona",515000,1,400188,"MARICOPA COUNTY",NA,NA,78
"170","ADVANCED MATH AND SCIENCE ACADEMY CHARTER (DISTRICT)","Massachusetts",12002000,1,2500085,"MIDDLESEX COUNTY",80.36,11.98,963
"171","ADVANCED TECHNOLOGY ACADEMY","Michigan",11962000,1,2600255,"WAYNE COUNTY",76.79,17.1,1313
"172","ADVANTAGE ACADEMY","Texas",15181000,1,4800041,"DALLAS COUNTY",114.6,14.86,1703
"173","AEA 11 HEARTLAND AEA","Iowa",28303000,NA,1999011,"POLK COUNTY",18.5,NA,NA
"174","AEA 13 GREEN HILLS AEA","Iowa",15069000,NA,1999013,"POTTAWATTAMIE COUNTY",23.74,NA,NA
"175","AEA 267","Iowa",19886000,NA,1999007,"BLACK HAWK COUNTY",240.76,NA,NA
"176","AFFTON 101","Missouri",29732000,4,2902910,"ST. LOUIS COUNTY",152.31,15.88,2419
"177","AFSA HIGH SCHOOL","Minnesota",3762000,1,2700186,"RAMSEY COUNTY",18.51,14.1,261
"178","AFTON","Oklahoma",4105000,2,4002520,"OTTAWA COUNTY",33.3,14.95,498
"179","AFTON CENTRAL SCHOOL DISTRICT","New York",14886000,2,3602400,"CHENANGO COUNTY",60.64,9.94,603
"180","AGAR-BLUNT-ONIDA SCHOOL DISTRICT 58-3","South Dakota",3900000,4,4600042,"SULLY COUNTY",27.09,10.63,288
"181","AGATE SCHOOL DISTRICT NO. 300","Colorado",740000,1,801980,"ELBERT COUNTY",1.4,6.43,9
"182","AGAWAM","Massachusetts",59264000,8,2501800,"HAMPDEN COUNTY",306.49,13.72,4204
"183","AGBU ALEX-MARIE MANOOGIAN SCHOOL","Michigan",3167000,1,2600106,"OAKLAND COUNTY",23.8,16.3,388
"184","AGORA CYBER CS","Pennsylvania",99322000,1,4200140,"CHESTER COUNTY",188,43.31,8142
"185","AGRA","Oklahoma",3727000,2,4002550,"LINCOLN COUNTY",29.9,14.41,431
"186","AGUA DULCE ISD","Texas",3818000,2,4807530,"NUECES COUNTY",29.91,12.4,371
"187","AGUA FRIA UNION HIGH SCHOOL DISTRICT","Arizona",51663000,4,400450,"MARICOPA COUNTY",310.84,21.98,6832
"188","AGUILA ELEMENTARY DISTRICT","Arizona",2166000,1,400480,"MARICOPA COUNTY",8,27.38,219
"189","AGUILAR REORGANIZED SCHOOL DISTRICT NO. 6","Colorado",1922000,2,802010,"LAS ANIMAS COUNTY",13,7.23,94
"190","AGWSR COMM SCHOOL DISTRICT","Iowa",8931000,4,1903060,"HARDIN COUNTY",47.74,13.91,664
"191","AHWATUKEE FOOTHILLS PREP  INC.","Arizona",2990000,2,400418,"MARICOPA COUNTY",NA,NA,365
"192","AHWATUKEE FOOTHILLS PREP EARLY COLLEGE HIGH SCHOOL  INC.","Arizona",59000,1,400827,"MARICOPA COUNTY",NA,NA,25
"193","AIBT NON-PROFIT CHARTER HIGH SCHOOL - PHOENIX","Arizona",2769000,1,400274,"MARICOPA COUNTY",NA,NA,324
"194","AIKEN 01","South Carolina",228609000,40,4500720,"AIKEN COUNTY",1507.8,16.4,24729
"195","AINSWORTH COMMUNITY SCHOOLS","Nebraska",6562000,4,3102790,"BROWN COUNTY",43.06,11.77,507
"196","AIRLINE CSD","Maine",815000,1,2302500,"PENOBSCOT COUNTY",4.41,14.06,62
"197","AIRPORT COMMUNITY SCHOOLS","Michigan",25245000,6,2601980,"MONROE COUNTY",136.7,19.21,2626
"198","AISHA SHULE/WEB DUBOIS PREP. ACADEMY SCHOOL","Michigan",2053000,1,2600124,"WAYNE COUNTY",14.1,15.39,217
"199","AITKIN PUBLIC SCHOOL DISTRICT","Minnesota",12508000,4,2702760,"AITKIN COUNTY",81.02,15.81,1281
"200","AJO UNIFIED DISTRICT","Arizona",4641000,2,400520,"PIMA COUNTY",32.25,13.92,449
"201","AKIMEL O'OTHAM PEE POSH CHARTER SCHOOL  INC.","Arizona",1621000,1,400404,"PINAL COUNTY",NA,NA,126
"202","AKIN CCSD 91","Illinois",1477000,1,1703210,"FRANKLIN COUNTY",10,10.6,106
"203","AKRON CENTRAL SCHOOL DISTRICT","New York",27076000,3,3602430,"ERIE COUNTY",107.37,13.81,1483
"204","AKRON CITY","Ohio",400504000,53,3904348,"SUMMIT COUNTY",1569,14.45,22678
"205","AKRON DIGITAL ACADEMY","Ohio",4979000,1,3900152,"SUMMIT COUNTY",28.75,20.52,590
"206","AKRON SCHOOL DISTRICT NO. R-1","Colorado",18500000,2,802040,"WASHINGTON COUNTY",26.31,13.65,359
"207","AKRON WESTFIELD COMM SCHOOL DISTRICT","Iowa",6885000,3,1903220,"PLYMOUTH COUNTY",47.42,11.18,530
"208","AKRON-FAIRGROVE SCHOOLS","Michigan",3241000,2,2602010,"TUSCOLA COUNTY",14.84,18.46,274
"209","AKROS MIDDLE SCHOOL","Ohio",1370000,1,3901428,"SUMMIT COUNTY",15,8.67,130
"210","AL INST DEAF AND BLIND","Alabama",NA,4,100009,"TALLADEGA COUNTY",0,NA,0
"211","AL PRICE STATE JUVENILE CORRECTIONAL FACILITY","Texas",NA,NA,4800222,"JEFFERSON COUNTY",0,NA,NA
"212","ALABAMA CLINICAL SCHOOL","Alabama",NA,1,100183,"JEFFERSON COUNTY",0,NA,NA
"213","ALABAMA CORRECTIONAL FACILITIES","Alabama",NA,4,100176,"MONTGOMERY COUNTY",0,NA,NA
"214","ALABAMA SCHOOL OF FINE ARTS","Alabama",NA,1,100018,"JEFFERSON COUNTY",0,NA,0
"215","ALABAMA YOUTH SERVICES","Alabama",NA,7,100002,"MONTGOMERY COUNTY",0,NA,0
"216","ALACHUA","Florida",252314000,69,1200030,"ALACHUA COUNTY",1751.82,15.69,27480
"217","ALAMANCE-BURLINGTON SCHOOLS","North Carolina",182461000,35,3700030,"ALAMANCE COUNTY",1486.88,15.37,22851
"218","ALAMEDA CNTY. STUDENT EXCHANGE PROG.","California",NA,NA,601355,"ALAMEDA COUNTY",NA,NA,NA
"219","ALAMEDA COUNTY OFFICE OF EDUCATION","California",51009000,11,691051,"ALAMEDA COUNTY",167.33,21.24,3554
"220","ALAMEDA UNIFIED","California",102207000,20,601770,"ALAMEDA COUNTY",486.56,21.93,10669
"221","ALAMO","Tennessee",4739000,1,4700030,"CROCKETT COUNTY",39.5,17.32,684
"222","ALAMO HEIGHTS ISD","Texas",74993000,6,4807590,"BEXAR COUNTY",326.33,14.72,4805
"223","ALAMOGORDO PUBLIC SCHOOLS","New Mexico",57775000,16,3500030,"OTERO COUNTY",372.43,17.01,6334
"224","ALAMOSA SCHOOL DISTRICT NO. RE-11J","Colorado",20154000,4,802070,"ALAMOSA COUNTY",116.98,17.93,2098
"225","ALANSON PUBLIC SCHOOLS","Michigan",3758000,1,2621810,"EMMET COUNTY",20.26,15.7,318
"226","ALASKA GATEWAY SCHOOL DISTRICT","Alaska",11563000,8,200050,"SOUTHEAST FAIRBANKS CENSUS AREA",32.44,11.96,388
"227","ALBA PUBLIC SCHOOLS","Michigan",1919000,1,2602040,"ANTRIM COUNTY",13.46,12.11,163
"228","ALBA-GOLDEN ISD","Texas",7994000,3,4807650,"WOOD COUNTY",70,12.37,866
"229","ALBANY CITY SCHOOL DISTRICT","New York",223760000,15,3602460,"ALBANY COUNTY",636.52,13.26,8441
"230","ALBANY CITY UNIFIED","California",58488000,6,601860,"ALAMEDA COUNTY",185.9,20.46,3803
"231","ALBANY COMMUNITY CHARTER SCHOOL","New York",NA,1,3600162,"ALBANY COUNTY",25,16.4,410
"232","ALBANY COUNTY SCHOOL DISTRICT #1","Wyoming",62445000,16,5600730,"ALBANY COUNTY",333.44,11.2,3734
"233","ALBANY ISD","Texas",6184000,2,4807680,"SHACKELFORD COUNTY",44.22,11.35,502
"234","ALBANY LEADERSHIP CHARTER HIGH SCHOOL FOR GIRLS","New York",NA,1,3601006,"ALBANY COUNTY",22,10.64,234
"235","ALBANY PREPARATORY CHARTER SCHOOL","New York",NA,1,3600130,"ALBANY COUNTY",17.39,14.09,245
"236","ALBANY PUBLIC SCHOOL DISTRICT","Minnesota",17242000,4,2702930,"STEARNS COUNTY",107.92,15.62,1686
"237","ALBANY R-III","Missouri",4629000,3,2902970,"GENTRY COUNTY",36.54,12.18,445
"238","ALBANY SCHOOL DISTRICT","New Hampshire",1208000,NA,3301350,"CARROLL COUNTY",0,NA,91
"239","ALBANY SCHOOL DISTRICT","Wisconsin",5758000,3,5500120,"GREEN COUNTY",39.31,9.64,379
"240","ALBANY SCHOOL DISTRICT","Vermont",1742000,1,5001740,"ORLEANS COUNTY",10,8.7,87
"241","ALBANY-SCHOHARIE-SCHENECTADY-SARATOGA BOCES","New York",NA,1,3680100,"ALBANY COUNTY",180.29,NA,NA
"242","ALBEMARLE CO PBLC SCHS","Virginia",183619000,26,5100090,"CHARLOTTESVILLE CITY",1023.72,12.8,13104
"243","ALBERS SD 63","Illinois",1685000,1,1703270,"CLINTON COUNTY",14.5,12.07,175
"244","ALBERT CITY-TRUESDALE COMM SCHOOL DISTRICT","Iowa",2694000,1,1900031,"BUENA VISTA COUNTY",11.56,18.69,216
"245","ALBERT GALLATIN AREA SD","Pennsylvania",47516000,9,4202100,"FAYETTE COUNTY",238.5,14.99,3575
"246","ALBERT LEA PUBLIC SCHOOL DISTRICT","Minnesota",42667000,10,2702970,"FREEBORN COUNTY",222.85,14.66,3268
"247","ALBERTON K-12 SCHOOLS","Montana",2663000,3,3001860,"MINERAL COUNTY",16.34,8.94,146
"248","ALBERTVILLE CITY","Alabama",35621000,6,100005,"MARSHALL COUNTY",240,17.25,4140
"249","ALBIA COMM SCHOOL DISTRICT","Iowa",13372000,5,1903270,"MONROE COUNTY",85.08,14.8,1259
"250","ALBION","Oklahoma",1001000,1,4002580,"PUSHMATAHA COUNTY",6.3,15.08,95
"251","ALBION CENTRAL SCHOOL DISTRICT","New York",34040000,3,3602520,"ORLEANS COUNTY",157.94,13.32,2103
"252","ALBION PUBLIC SCHOOLS","Michigan",10376000,4,2602070,"CALHOUN COUNTY",55,14.76,812
"253","ALBUQUERQUE INSTITUTE OF MATH & SCIENCE","New Mexico",NA,1,3500130,"BERNALILLO COUNTY",17,17.76,302
"254","ALBUQUERQUE PUBLIC SCHOOLS","New Mexico",963715000,162,3500060,"BERNALILLO COUNTY",6157.27,15.32,94318
"255","ALBURG SCHOOL DISTRICT","Vermont",4715000,1,5001770,"GRAND ISLE COUNTY",22.95,12.98,298
"256","ALBURNETT COMM SCHOOL DISTRICT","Iowa",8477000,2,1903300,"LINN COUNTY",40.51,13.68,554
"257","ALCESTER-HUDSON SCHOOL DISTRICT 61-1","South Dakota",3423000,3,4600028,"UNION COUNTY",26.97,11.98,323
"258","ALCOA","Tennessee",18596000,3,4700060,"BLOUNT COUNTY",109,16.63,1813
"259","ALCONA COMMUNITY SCHOOLS","Michigan",8479000,2,2602160,"ALCONA COUNTY",42.5,18.07,768
"260","ALCORN SCHOOL DIST","Mississippi",30894000,12,2800390,"ALCORN COUNTY",245.71,14.4,3537
"261","ALDEN CENTRAL SCHOOL DISTRICT","New York",31280000,3,3602550,"ERIE COUNTY",131.1,13.6,1783
"262","ALDEN COMM SCHOOL DISTRICT","Iowa",3940000,1,1900032,"HARDIN COUNTY",21.13,13.25,280
"263","ALDEN HEBRON SD 19","Illinois",6042000,3,1703300,"MCHENRY COUNTY",33.5,13.43,450
"264","ALDEN-CONGER PUBLIC SCHOOL DISTRICT","Minnesota",5375000,2,2703030,"FREEBORN COUNTY",37.69,13.53,510
"265","ALDER ELEM","Montana",284000,1,3017460,"MADISON COUNTY",1.9,13.68,26
"266","ALDINE ISD","Texas",610147000,82,4807710,"HARRIS COUNTY",3782.36,17,64300
"267","ALDO LEOPOLD CHARTER","New Mexico",0,1,3500138,"GRANT COUNTY",8.43,13.76,116
"268","ALEDO ISD","Texas",49188000,8,4807780,"PARKER COUNTY",278.59,16.81,4684
"269","ALEGENT/IMMANUEL RTC","Nebraska",NA,1,3100181,"DOUGLAS COUNTY",2,0,0
"270","ALEUTIAN REGION SCHOOL DISTRICT","Alaska",1584000,3,200010,"ANCHORAGE MUNICIPALITY",4,7.75,31
"271","ALEUTIANS EAST BOROUGH SCHOOL DISTRICT","Alaska",8723000,6,200007,"ALEUTIANS EAST BOROUGH",33,7.58,250
"272","ALEX","Oklahoma",2691000,3,4002670,"GRADY COUNTY",20.6,14.22,293
"273","ALEXANDER 2","North Dakota",1467000,2,3801760,"MCKENZIE COUNTY",10.14,8.88,90
"274","ALEXANDER CENTRAL SCHOOL DISTRICT","New York",16342000,2,3602580,"GENESEE COUNTY",76.31,12.23,933
"275","ALEXANDER CITY","Alabama",28962000,5,100030,"TALLAPOOSA COUNTY",193,16.42,3170
"276","ALEXANDER COUNTY SCHOOLS","North Carolina",46505000,10,3700090,"ALEXANDER COUNTY",341.18,16.05,5475
"277","ALEXANDER LOCAL","Ohio",18482000,3,3904590,"ATHENS COUNTY",100.84,15.52,1565
"278","ALEXANDER PUBLIC SCHOOLS","Maine",828000,1,2302280,"WASHINGTON COUNTY",5.02,11.16,56
"279","ALEXANDER VALLEY UNION ELEMENTARY","California",1805000,1,601890,"SONOMA COUNTY",9.92,13.21,131
"280","ALEXANDRIA CENTRAL SCHOOL DISTRICT","New York",11380000,2,3602670,"JEFFERSON COUNTY",55.02,11.52,634
"281","ALEXANDRIA CITY PBLC SCHS","Virginia",233566000,19,5100120,"ALEXANDRIA CITY",1191.94,10.4,12396
